dataset,model,split,fold,class,num_preds,num_gts,precision,recall,f1-score,mAP@50,mAP@50_95
Merged,Classification,test,5,all,58516,63225,0.923149943351746,0.859166502952576,0.889751851558685,0.897813459200999,0.577689947031833
Merged,Classification,test,5,boat,20515,20859,0.984923362731934,0.945826768875122,0.964979231357574,0.970541004679944,0.702236295655623
Merged,Classification,test,5,swimmer,38001,42366,0.861376523971558,0.772506237030029,0.814524471759796,0.825085913722054,0.453143598408044
Merged,ClassificationV2Big,test,0,all,27976,39302,0.8407420217990875,0.6223655343055725,0.7044061422348022,0.7222976687201093,0.360344696690039
Merged,ClassificationV2Big,test,0,boat,16749,18521,0.9251298308372498,0.8366178870201111,0.8786503672599792,0.895260959387898,0.5107000285055194
Merged,ClassificationV2Big,test,0,swimmer,11227,20781,0.7563542127609253,0.4081131815910339,0.5301619172096252,0.5493343780523205,0.2099893648745585
Merged,ClassificationV2Big,test,1,all,19075,28098,0.8706746101379395,0.613982081413269,0.7105956077575684,0.7586529882079045,0.4388386392679319
Merged,ClassificationV2Big,test,1,boat,10358,11587,0.9448596239089966,0.8074566125869751,0.870771050453186,0.8991555416699182,0.6139104225286711
Merged,ClassificationV2Big,test,1,swimmer,8717,16511,0.7964895963668823,0.420507550239563,0.5504201650619507,0.6181504347458907,0.2637668560071926
Merged,ClassificationV2Big,test,2,all,37199,38352,0.90081724524498,0.851312518119812,0.8752383887767792,0.8902628777524886,0.5972198323416804
Merged,ClassificationV2Big,test,2,boat,13398,13502,0.9750057458877563,0.9418604373931884,0.9581465125083924,0.969497206417727,0.7516236189837814
Merged,ClassificationV2Big,test,2,swimmer,23801,24850,0.8266287446022034,0.7607645988464355,0.792330265045166,0.8110285490872501,0.4428160456995795
Merged,ClassificationV2Big,test,3,all,19202,21920,0.6309291273355484,0.5848825871944427,0.5987957715988159,0.5956145240178491,0.3338932866699953
Merged,ClassificationV2Big,test,3,boat,11989,10281,0.8808062076568604,0.9351230263710022,0.90715229511261,0.9417474769906352,0.597978684382685
Merged,ClassificationV2Big,test,3,swimmer,7213,11639,0.3810520470142364,0.2346421480178833,0.290439248085022,0.2494815710450629,0.0698078889573056
Merged,ClassificationV2Big,test,4,all,53226,46832,0.7490407824516296,0.6036553233861923,0.6581797003746033,0.6754297747309994,0.3624305887240829
Merged,ClassificationV2Big,test,4,boat,24694,21528,0.91001158952713,0.8765329122543335,0.8929585218429565,0.9319001791603548,0.5691437842901138
Merged,ClassificationV2Big,test,4,swimmer,28532,25304,0.5880699753761292,0.3307777345180511,0.42340087890625,0.418959370301644,0.1557173931580519
Merged,ClassificationV2Big,test,5,all,58137,63225,0.9316023290157318,0.8647401034832001,0.8965877294540405,0.9039991648239027,0.5807928566780234
Merged,ClassificationV2Big,test,5,boat,20430,20859,0.9882411360740662,0.950860559940338,0.9691905379295348,0.9729854264945867,0.70318685931965
Merged,ClassificationV2Big,test,5,swimmer,37707,42366,0.8749635219573975,0.778619647026062,0.8239849209785461,0.8350129031532187,0.4583988540363967
Merged,ClassificationV2,test,0,all,27976,39302,0.8407420217990875,0.6223655343055725,0.7044061422348022,0.7222976687201093,0.360344696690039
Merged,ClassificationV2,test,0,boat,16749,18521,0.9251298308372498,0.8366178870201111,0.8786503672599792,0.895260959387898,0.5107000285055194
Merged,ClassificationV2,test,0,swimmer,11227,20781,0.7563542127609253,0.4081131815910339,0.5301619172096252,0.5493343780523205,0.2099893648745585
Merged,ClassificationV2,test,1,all,20267,28098,0.8329465687274933,0.6200689226388931,0.7057969570159912,0.7426151427793002,0.4260537993123079
Merged,ClassificationV2,test,1,boat,10359,11587,0.9448596239089966,0.8074566125869751,0.870771050453186,0.899147951560268,0.613901665354828
Merged,ClassificationV2,test,1,swimmer,9908,16511,0.72103351354599,0.4326812326908111,0.5408228635787964,0.5860823339983322,0.2382059332697878
Merged,ClassificationV2,test,2,all,37522,38352,0.9012518227100372,0.8489505052566528,0.8740663230419159,0.8900360428135003,0.5965168459669856
Merged,ClassificationV2,test,2,boat,13475,13502,0.9705008268356324,0.942971408367157,0.9565380811691284,0.969479893118108,0.7516120606398238
Merged,ClassificationV2,test,2,swimmer,24047,24850,0.8320028185844421,0.7549296021461487,0.7915945649147034,0.8105921925088925,0.4414216312941473
Merged,ClassificationV2,test,3,all,19202,21920,0.6309291273355484,0.5848825871944427,0.5987957715988159,0.5956145240178491,0.3338932866699953
Merged,ClassificationV2,test,3,boat,11989,10281,0.8808062076568604,0.9351230263710022,0.90715229511261,0.9417474769906352,0.597978684382685
Merged,ClassificationV2,test,3,swimmer,7213,11639,0.3810520470142364,0.2346421480178833,0.290439248085022,0.2494815710450629,0.0698078889573056
Merged,ClassificationV2,test,4,all,53226,46832,0.7490407824516296,0.6036553233861923,0.6581797003746033,0.6754297747309994,0.3624305887240829
Merged,ClassificationV2,test,4,boat,24694,21528,0.91001158952713,0.8765329122543335,0.8929585218429565,0.9319001791603548,0.5691437842901138
Merged,ClassificationV2,test,4,swimmer,28532,25304,0.5880699753761292,0.3307777345180511,0.42340087890625,0.418959370301644,0.1557173931580519
Merged,ClassificationV2,test,5,all,58204,63225,0.9293031692504884,0.8635008931159973,0.8948703110218048,0.9019042450001676,0.5804196194482685
Merged,ClassificationV2,test,5,boat,20427,20859,0.988044261932373,0.950860559940338,0.9690959453582764,0.9729807951975732,0.7036913992063504
Merged,ClassificationV2,test,5,swimmer,37777,42366,0.8705620765686035,0.7761412262916565,0.8206446766853333,0.8308276948027622,0.4571478396901866
Merged,Coastline,test,0,all,6918,39302,0.251529820263386,0.0418409574776888,0.0715776532888413,0.138574282441404,0.0368417079017149
Merged,Coastline,test,0,boat,2775,18521,0.33381399512291,0.0499972999095917,0.0869687721133232,0.185161889300147,0.0420617526503263
Merged,Coastline,test,0,swimmer,4143,20781,0.169245645403862,0.0336846150457859,0.0561865344643593,0.0919866755826606,0.0316216631531035
Merged,Coastline,test,1,all,14447,28098,0.461673423647881,0.223968341946602,0.298294976353645,0.295964778695272,0.0830791449691584
Merged,Coastline,test,1,boat,4467,11587,0.503022134304047,0.193924218416214,0.279930204153061,0.324561772571554,0.0837161325579584
Merged,Coastline,test,1,swimmer,9980,16511,0.420324712991715,0.25401246547699,0.31665974855423,0.267367784818989,0.0824421573803583
Merged,Coastline,test,2,all,40557,38352,0.642155259847641,0.403975635766983,0.486897721886635,0.473878558823253,0.139097847804993
Merged,Coastline,test,2,boat,6389,13502,0.718691289424896,0.340023696422577,0.461639016866684,0.49846180638979,0.161565350902294
