dataset,tracker,new_track_thresh,match_thresh,fold,class,num_frames,num_objects,num_detections,num_misses,num_false_positives,num_switches,sum_overlap,num_matches,mota,motp,idf1
OpenWater,BotSort,0.2,0.65,0,all,46604,143223,130527,12696,2952,782,13539.468167,129745,0.885284,0.104354,0.943448
OpenWater,BotSort,0.2,0.65,0,boat,22496,57366,56215,1151,806,86,3252.016544,56129,0.964387,0.057938,0.982891
OpenWater,BotSort,0.2,0.65,0,swimmer,24108,85857,74312,11545,2146,696,10287.451623,73616,0.832431,0.139745,0.915652
OpenWater,BotSort,0.2,0.65,1,all,45712,144254,120380,23874,4667,1027,15980.861672,119353,0.795028,0.133896,0.894018
OpenWater,BotSort,0.2,0.65,1,boat,21994,62879,61087,1792,1320,171,5283.014018,60916,0.947789,0.086726,0.975161
OpenWater,BotSort,0.2,0.65,1,swimmer,23718,81375,59293,22082,3347,856,10697.847653,58437,0.676989,0.183066,0.823428
OpenWater,BotSort,0.2,0.65,2,all,44190,131339,116842,14497,3989,1251,13046.641344,115591,0.849725,0.112869,0.926692
OpenWater,BotSort,0.2,0.65,2,boat,21785,55945,53774,2171,1733,498,3381.858764,53276,0.921316,0.063478,0.964971
OpenWater,BotSort,0.2,0.65,2,swimmer,22405,75394,63068,12326,2256,753,9664.78258,62315,0.796602,0.155096,0.896374
OpenWater,BotSort,0.2,0.65,3,all,46546,162166,140473,21693,5785,1021,19132.17727,139452,0.82426,0.137195,0.910908
OpenWater,BotSort,0.2,0.65,3,boat,23816,63883,61150,2733,1666,313,4884.401164,60837,0.92624,0.080287,0.96528
OpenWater,BotSort,0.2,0.65,3,swimmer,22730,98283,79323,18960,4119,708,14247.776107,78615,0.757974,0.181235,0.873
